Name,Website,Email,Category,Entity_ID
AARP,https://www.aarp.org/,ajcorrigan88+aarp@gmail.com,Advocacy organization or think tank,555b07f95e3dc347516af4e713ed190b
Center for Responsive Politics,http://www.opensecrets.org/,ajcorrigan88+cfrp@gmail.com,Advocacy organization or think tank,77751658e640d8c56dbda5d7501dfd5d
Doctors Without Borders,https://www.doctorswithoutborders.org/,ajcorrigan88+dwb@gmail.com,Advocacy organization or think tank,88ffcae6a9688afdc6f52eb52ba6b3e7
National PTA,https://member.pta.org/Member-Login/Email-Signup,ajcorrigan88+pta@gmail.com,Advocacy organization or think tank,01f0dfe06f935caa4eb85219cdedc5cd
Sierra Club,https://www.sierraclub.org/,ajcorrigan88+sierra@gmail.com,Advocacy organization or think tank,8c6ebcbd99c7b32358af9380fbe4e31f
ASPCA,https://www.aspca.org/,ajcorrigan88+amnesty@gmail.com,Advocacy organization or think tank,4ccae9795c5b4ad465da6d005eeba7a3
Amnesty International USA,https://www.amnestyusa.org/,ajcorrigan88+aspca@gmail.com,Advocacy organization or think tank,3c202f787fee2a5673f34b2c6f58fba7
Center for Education Reform,https://edreform.com/,ajcorrigan88+cer@gmail.com,Advocacy organization or think tank,67bfe4f4ef51dbb4e85c4c8fb61fddcb
NORML,https://norml.org/subscribe,ajcorrigan88+norml@gmail.com,Advocacy organization or think tank,9849dcbb70bb14572bbb11b985172f3e
PETA,https://www.peta.org/issues/,ajcorrigan88+peta@gmail.com,Advocacy organization or think tank,e141ad712a3f55eb5cd23f6158a1c837
Jefferson Movement,https://us14.campaign-archive.com/home/,ajcorrigan88+jefferson@gmail.com,Advocacy organization or think tank,2cbd76c1cee6ff7178961d0db20eaf05
League of Women Voters of Missouri,https://lwvmissouri.org/our-nonpartisan-policy/,ajcorrigan88+lwvmo@gmail.com,Advocacy organization or think tank,57132dcf3fca1490c8276f2b5af1f0d6
Change.org,change.org,ajcorrigan88+change@gmail.com,Advocacy organization or think tank,f488444ac4e93fcff0286ab029978e37
American Cancer Society,https://www.cancer.org/involved.html,ajcorrigan88+acs@gmail.com,Advocacy organization or think tank,27f3b3a6e7b2192f45cd6dd7399f1780
Extinction Rebellion,https://rebellion.earth,ajcorrigan88+er@gmail.com,Advocacy organization or think tank,34a9e4eae730ea35805e043c6026b462
Amy Klobuchar,http://www.amyklobuchar.com,ajcorrigan88+aklobucharoffice@gmail.com,Presidential candidate,7bf220c9d5cd449593f62027f070f43a
Elizabeth Warren,http://elizabethwarren.com,ajcorrigan88+ewarrenoffice@gmail.com,Presidential candidate,2d013ad3a742e41b3fb8d134bda32dcf
Joe Biden,https://joebiden.com,ajcorrigan88+jbiden@gmail.com,Presidential candidate,5a734332a3ddae9c085956579080924e
Beto O’Rourke,https://betoorourke.com,ajcorrigan88+beto@gmail.com,Presidential candidate,7553b2e99943caff8872f324117d9264
Kamala Harris,http://www.kamalaharris.org,ajcorrigan88+kharris@gmail.com,Presidential candidate,5d964369d475abe96a476fa5cc4e2357
Julián Castro,https://www.julianforthefuture.com,ajcorrigan88+jcastro@gmail.com,Presidential candidate,36f47f2923fa8fa33094f11fb5e8e12e
Andrew Yang,https://www.yang2020.com,ajcorrigan88+ayang@gmail.com,Presidential candidate,998a84e8c2749ba69e4966c1879c43d0
Pete Buttigieg,https://www.peteforamerica.com,ajcorrigan88+pbuttigieg@gmail.com,Presidential candidate,8a6fd29cf00f1c82c48ee0821ab2b7aa
Cory Booker,https://corybooker.com,ajcorrigan88+cbooker@gmail.com,Presidential candidate,341c49493d15e6ce45fd0483482f2d57
Bernie Sanders,http://www.bernie.org,ajcorrigan88+bsanders@gmail.com,Presidential candidate,b7bbda384e6dcfd03c2382113acbd312
Donald Trump,https://www.donaldjtrump.com,ajcorrigan88+dtrump@gmail.com,Presidential candidate,edb27c9b5bf9f9385be57cc3dc7338ed
Bill Weld,https://www.weld2020.org,ajcorrigan88+bweld@gmail.com,Presidential candidate,17951ea60e6253d909897e0e82f48fbf
Joe Walsh,https://www.joewalsh.org,ajcorrigan88+jwalsh@gmail.com,Presidential candidate,3ee34b65e61fb39b1c6bf106224eb388
Tulsi Gabbard,https://www.tulsi2020.com/about,ajcorrigan88+tgabbard@gmail.com,Presidential candidate,80fe6bd76a5b544ee6ee6d5c68088464
Trump rallies,https://www.donaldjtrump.com/events/,ajcorrigan88+trumprally@gmail.com,Presidential candidate,eca2e892d879a20aef423ccb0a680f49
Ann Wagner,http://annwagner.com/,ajcorrigan88+awagneroffice@gmail.com,House battleground campaign,fb98f8fa9305ff53ef495e5777d9837f
Brian Fitzpatrick,http://www.brianfitzpatrick.com/,ajcorrigan88+bfitzoffice@gmail.com  ,House battleground campaign,31540a910961597f90d8e7a8db3ef445
Chip Roy,http://chiproy.com/,ajcorrigan88+croyoffice@gmail.com,House battleground campaign,0bc0a38807570c4b45a0586d9dd7745d
Devin Nunes,https://www.devinnunes.com,ajcorrigan88+dnunesoffice@gmail.com,House battleground campaign,5b0293ab41c4b1d66743c790ad95b613
Don Bacon,https://donjbacon.com,ajcorrigan88+dbaconoffice@gmail.com,House battleground campaign,33ca911d5541859f39a6729c384a939e
Duncan Hunter,http://hunterforcongress.com,ajcorrigan88+dhunteroffice@gmail.com,House battleground campaign,d6dd8cadcdee9a5e17a6458b0ee5ef7c
Fred Upton,http://fredupton.com/,ajcorrigan88+fuptonoffice@gmail.com,House battleground campaign,c1c30dc8e7e69be87e52ebb6f43b133e
George Holding,http://georgeholdingforcongress.com/,ajcorrigan88+gholdingoffice@gmail.com,House battleground campaign,39d5f5a819b52aa32248a64df4dddb25
Greg Gianforte,http://gregformontana.com/,ajcorrigan88+ggianforteoffice@gmail.com,House battleground campaign,0ee6ccba55741f9d93413933bf3ec8de
Jaime Herrera Beutler,http://www.votejaime.com/,ajcorrigan88+jbeutleroffice@gmail.com,House battleground campaign,6dd1aaf67ed88c797c792f22456b5711
Jim Hagedorn,https://www.jimhagedorn.org,ajcorrigan88+jhagedornoffice@gmail.com,House battleground campaign,446704ca6564849959ee36fb34bf33fc
John Carter,https://www.johncarterforcongress.com,ajcorrigan88+jcarteroffice@gmail.com,House battleground campaign,76ca0db1be15f9283844ab7d8d812375
John Katko,http://www.johnkatkoforcongress.com/,ajcorrigan88+jkatko@gmail.com,House battleground campaign,2634d2f18f8c0766b095c77c40275e7b
