Name,Website,Emails received,Date of first email,Date of last email
Abby Finkenauer,http://www.abbyfinkenauer.com/,14.0,2019-10-21,2019-11-19
Abigail Spanberger,http://abigailspanberger.com/,5.0,2019-10-20,2019-11-04
Andrew Kim,http://www.andykimforcongress.com/,19.0,2019-10-20,2020-02-11
Angie Craig,https://www.angiecraig.com/,1.0,2019-10-20,2019-10-20
Ann Kirkpatrick,https://www.kirkpatrickforcongress.com,0.0,-,-
Ann Wagner,http://annwagner.com/,32.0,2019-10-20,2020-02-07
Anthony Brindisi,http://brindisiforcongress.com/,3.0,2019-10-21,2019-10-26
Antonio Delgado,http://www.delgadoforcongress.com/,38.0,2019-10-20,2020-01-17
Ben McAdams,http://www.benmcadamsforcongress.com/,60.0,2019-10-21,2020-02-08
Brian Fitzpatrick,http://www.brianfitzpatrick.com/,0.0,-,-
Chip Roy,http://chiproy.com/,57.0,2019-10-23,2020-02-04
Chris Pappas,http://chrispappas.org/,33.0,2019-10-21,2020-01-02
Cindy Axne,http://cindyaxneforcongress.com/,20.0,2019-10-20,2020-02-07
Colin Allred,http://www.colinallred.com/,0.0,-,-
Collin Peterson,http://www.petersonforcongress.com/,0.0,-,-
Conor Lamb,https://conorlamb.com/,0.0,-,-
Dave Loebsack,http://loebsackforcongress.org/,0.0,-,-
Dean Phillips,https://www.phillipsforcongress.org/,68.0,2019-10-22,2020-02-12
Debbie Mucarsel-Powell,http://debbiemucarselpowell.com/,17.0,2019-10-20,2020-02-02
Devin Nunes,https://www.devinnunes.com,0.0,-,-
Don Bacon,https://donjbacon.com,0.0,-,-
Donna Shalala,https://donnashalala.com,17.0,2019-10-31,2020-02-11
Duncan Hunter,http://hunterforcongress.com,0.0,-,-
Elaine Luria,https://elaineforcongress.com/,60.0,2019-11-08,2020-02-12
Elissa Slotkin,http://elissaforcongress.com/,1.0,2019-10-20,2019-10-20
Fred Upton,http://fredupton.com/,1.0,2019-10-20,2019-10-20
George Holding,http://georgeholdingforcongress.com/,0.0,-,-
Gil Cisneros,https://cisnerosforcongress.com,0.0,-,-
Greg Gianforte,http://gregformontana.com/,0.0,-,-
Haley Stevens,http://haleystevensforcongress.com/,4.0,2019-10-21,2019-10-28
Harley Rouda,https://harleyforcongress.com,58.0,2019-10-21,2020-02-10
Jaime Herrera Beutler,http://www.votejaime.com/,23.0,2019-11-16,2020-02-11
Jared Golden,http://jaredgoldenforcongress.com/,1.0,2019-10-21,2019-10-21
Jeff Van Drew,https://www.vandrewforcongress.com/,12.0,2019-10-21,2019-11-18
Jim Hagedorn,https://www.jimhagedorn.org,20.0,2019-11-04,2020-02-10
Joe Cunningham,http://www.joecunninghamforcongress.com/,21.0,2020-01-09,2020-02-06
John Carter,https://www.johncarterforcongress.com,0.0,-,-
John Katko,http://www.johnkatkoforcongress.com/,0.0,-,-
Josh Harder,https://www.harderforcongress.com,66.0,2019-10-20,2020-02-12
Katie Hill,https://www.katiehillforcongress.com,0.0,-,-
Katie Porter,https://katieporter.com,56.0,2019-10-25,2020-02-06
Kendra Horn,http://www.kendrahornforcongress.com/,0.0,-,-
Kenny Marchant,http://www.kennymarchant.com/,0.0,-,-
Kim Schrier,http://www.drkimschrier.com/,7.0,2019-10-20,2019-12-23
Lauren Underwood,http://www.laurenaunderwood.com/,0.0,-,-
Lee Zeldin,http://www.zeldinforcongress.com/,21.0,2019-10-28,2020-01-31
Lizzie Pannill Fletcher,https://www.lizziefletcher.com/,35.0,2019-11-01,2020-02-12
Lucy McBath,http://lucyforcongress.com/,1.0,2019-10-20,2019-10-20
Matt Cartwright,http://www.cartwrightcongress.com,50.0,2019-10-20,2020-01-17
Max Rose,http://www.maxroseforcongress.com/,55.0,2019-10-20,2020-02-10
Michael McCaul,http://www.michaelmccaul.com/,0.0,-,-
Pete Olson,http://www.olsonforcongress.com/,0.0,-,-
Pete Stauber,https://stauber.house.gov,0.0,-,-
Rob Woodall,http://robwoodall.com/,1.0,2019-10-20,2019-10-20
Rodney Davis,http://electrodney.com/,0.0,-,-
Ross Spano,http://www.rossspano.com/,0.0,-,-
Scott Perry,http://www.patriotsforperry.com/,1.0,2019-10-20,2019-10-20
Sean Casten,http://www.castenforcongress.com/,69.0,2019-10-21,2020-02-11
Sharice Davids,https://www.shariceforcongress.com/intro?splash=1,4.0,2019-10-20,2019-12-02
Steve Chabot,http://stevechabot.com/,33.0,2019-10-20,2020-02-12
Steve King,https://steveking.house.gov,0.0,-,-
Steve Watkins,http://steveforkansas.com/,9.0,2019-11-17,2020-02-09
Susan Brooks,http://www.susanbrooksforcongress.com/,1.0,2019-10-20,2019-10-20
Susan Wild,https://wildforcongress.com,45.0,2019-10-20,2020-02-11
Susie Lee,http://susieleeforcongress.com/,3.0,2019-10-20,2020-01-19
TJ Cox,https://tjcoxforcongress.com,55.0,2019-10-24,2020-02-01
Tom Malinowski,http://malinowskifornj.com/,0.0,-,-
Tom O'Halleran,https://www.tomohalleran.com/,26.0,2019-10-20,2019-12-31
Troy Balderson,http://www.baldersonforcongress.com/,0.0,-,-
Will Hurd,http://hurdforcongress.nationbuilder.com/,1.0,2019-10-20,2019-10-20
Xochitl Torres Small,http://www.xochforcongress.com/,0.0,-,-
