Name,Website,Emails received,Date of first email,Date of last email
Abby Finkenauer,https://finkenauer.house.gov/,10.0,2019-10-28,2020-02-10
Abigail Spanberger,https://spanberger.house.gov/,28.0,2019-10-18,2020-02-10
Andrew Kim,https://kim.house.gov/,8.0,2019-10-21,2020-02-04
Angie Craig,https://craig.house.gov/,16.0,2019-10-18,2020-02-07
Ann Kirkpatrick,https://kirkpatrick.house.gov/,9.0,2019-10-30,2019-12-19
Ann Wagner,https://wagner.house.gov/,18.0,2019-10-16,2020-02-10
Anthony Brindisi,https://brindisi.house.gov/,10.0,2019-10-18,2020-02-06
Antonio Delgado,https://delgado.house.gov/,11.0,2019-10-30,2020-02-07
Ben McAdams,https://mcadams.house.gov/,4.0,2020-01-23,2020-02-04
Brian Fitzpatrick,https://fitzpatrick.house.gov/,3.0,2019-10-16,2019-10-18
Chip Roy,https://roy.house.gov/,1.0,2019-10-28,2019-10-28
Chris Pappas,https://pappas.house.gov/,4.0,2019-12-20,2020-02-07
Cindy Axne,https://axne.house.gov/,7.0,2019-10-25,2020-02-06
Colin Allred,https://allred.house.gov/,17.0,2019-10-21,2020-02-07
Collin Peterson,https://collinpeterson.house.gov/,0.0,-,-
Conor Lamb,https://lamb.house.gov/,7.0,2019-11-02,2020-02-07
Dave Loebsack,https://loebsack.house.gov/,0.0,-,-
Dean Phillips,https://phillips.house.gov/,15.0,2019-10-18,2020-02-11
Debbie Mucarsel-Powell,https://mucarsel-powell.house.gov/,10.0,2019-11-17,2020-02-09
Devin Nunes,https://nunes.house.gov/,0.0,-,-
Don Bacon,https://bacon.house.gov/,12.0,2019-10-22,2020-02-04
Donna Shalala,https://shalala.house.gov/,0.0,-,-
Duncan Hunter,https://hunter.house.gov/,1.0,2019-11-22,2019-11-22
Elaine Luria,https://luria.house.gov/,11.0,2019-10-21,2020-02-11
Elissa Slotkin,https://slotkin.house.gov/,16.0,2019-10-31,2020-02-11
Fred Upton,https://upton.house.gov/,15.0,2019-10-19,2020-02-08
George Holding,https://holding.house.gov/,2.0,2019-10-22,2019-10-28
Gil Cisneros,https://cisneros.house.gov/,12.0,2019-11-01,2020-02-09
Greg Gianforte,https://gianforte.house.gov/,2.0,2019-11-05,2019-11-20
Haley Stevens,https://stevens.house.gov/,19.0,2019-10-21,2020-02-12
Harley Rouda,https://rouda.house.gov/,3.0,2019-11-12,2020-01-17
Jaime Herrera Beutler,https://herrerabeutler.house.gov/,16.0,2019-10-20,2020-02-02
Jared Golden,https://golden.house.gov/,12.0,2019-10-24,2020-02-10
Jeff Van Drew,https://vandrew.house.gov/,1.0,2020-01-30,2020-01-30
Jim Hagedorn,https://hagedorn.house.gov/,21.0,2019-11-18,2020-02-11
Joe Cunningham,https://cunningham.house.gov/,8.0,2019-11-01,2020-02-07
John Katko,https://katko.house.gov/,9.0,2019-10-18,2020-01-31
Josh Harder,https://harder.house.gov/,3.0,2019-10-30,2020-01-24
Katie Hill,https://katiehill.house.gov/,1.0,2019-10-25,2019-10-25
Katie Porter,https://porter.house.gov/,4.0,2019-10-22,2019-12-11
Kendra Horn,https://horn.house.gov/,4.0,2019-11-04,2020-02-01
Kenny Marchant,https://marchant.house.gov/,1.0,2019-12-22,2019-12-22
Kim Schrier,https://schrier.house.gov/,1.0,2019-11-15,2019-11-15
Lauren Underwood,https://underwood.house.gov/,15.0,2019-10-23,2020-02-04
Lee Zeldin,https://zeldin.house.gov/,0.0,-,-
Lizzie Pannill Fletcher,https://fletcher.house.gov/,14.0,2019-10-23,2020-02-09
Lucy McBath,https://mcbath.house.gov/,17.0,2019-10-29,2020-02-08
Matt Cartwright,https://cartwright.house.gov/,1.0,2019-11-25,2019-11-25
Max Rose,https://maxrose.house.gov,4.0,2019-11-09,2020-02-02
Michael McCaul,https://mccaul.house.gov/,2.0,2019-11-12,2020-01-09
Pete Olson,https://olson.house.gov/,22.0,2019-10-21,2020-02-11
Pete Stauber,https://stauber.house.gov/,12.0,2019-10-22,2020-02-11
Rob Woodall,https://woodall.house.gov/,17.0,2019-10-21,2020-02-10
Rodney Davis,https://rodneydavis.house.gov/,27.0,2019-11-11,2020-02-12
Ross Spano,https://spano.house.gov/,16.0,2019-10-20,2020-02-09
Scott Perry,https://perry.house.gov/,5.0,2019-10-22,2019-12-17
Sean Casten,https://casten.house.gov/,10.0,2019-10-25,2020-02-07
Sharice Davids,https://davids.house.gov/,15.0,2019-10-22,2020-02-06
Steve Chabot,https://chabot.house.gov/,0.0,-,-
Steve King,https://steveking.house.gov/,2.0,2020-01-20,2020-02-07
Steve Watkins,https://watkins.house.gov/,0.0,-,-
Susan Brooks,https://susanwbrooks.house.gov/,0.0,-,-
Susan Wild,https://wild.house.gov/,16.0,2019-10-25,2020-02-07
Susie Lee,https://susielee.house.gov/,16.0,2019-10-21,2020-02-12
TJ Cox,https://cox.house.gov/,2.0,2019-12-03,2020-01-23
Tom Malinowski,https://malinowski.house.gov/,16.0,2019-10-29,2020-02-12
Tom O'Halleran,https://ohalleran.house.gov/,0.0,-,-
Troy Balderson,https://balderson.house.gov/,4.0,2019-10-25,2020-01-29
Will Hurd,https://hurd.house.gov/,16.0,2019-10-18,2020-02-07
Xochitl Torres Small,https://torressmall.house.gov/,13.0,2019-11-01,2020-02-02
