Name,Website,Emails received,Date of first email,Date of last email
Amy Klobuchar,http://www.amyklobuchar.com,312.0,2019-10-21,2020-02-12
Andrew Yang,https://www.yang2020.com,69.0,2019-10-22,2020-01-23
Bernie Sanders,http://www.bernie.org,111.0,2019-10-22,2020-01-01
Beto O’Rourke,https://betoorourke.com,46.0,2019-10-21,2020-02-10
Bill Weld,https://www.weld2020.org,103.0,2019-10-21,2020-02-12
Cory Booker,https://corybooker.com,207.0,2019-10-21,2020-01-19
Donald Trump,https://www.donaldjtrump.com,0.0,-,-
Elizabeth Warren,http://elizabethwarren.com,66.0,2019-10-22,2019-11-21
Joe Biden,https://joebiden.com,91.0,2019-10-21,2019-12-05
Joe Walsh,https://www.joewalsh.org,91.0,2019-10-22,2020-02-03
Julián Castro,https://www.julianforthefuture.com,216.0,2019-10-22,2020-02-07
Kamala Harris,http://www.kamalaharris.org,123.0,2019-10-21,2019-12-19
Michael Bloomberg,https://mikebloomberg.com,6.0,2020-02-06,2020-02-11
Pete Buttigieg,https://www.peteforamerica.com,43.0,2019-10-21,2019-11-21
Tom Steyer,https://tomsteyer.com,1.0,2020-02-06,2020-02-06
Trump rallies,https://www.donaldjtrump.com/events/,1.0,2019-11-05,2019-11-05
Tulsi Gabbard,https://www.tulsi2020.com/about,45.0,2019-11-08,2020-02-07
