Name,Primary,Promotions,Spam,Total Emails
Lucy McBath,1.0,0.0,0.0,1
Sharice Davids,0.5,0.25,0.25,4
Abigail Spanberger,0.2,0.4,0.4,5
Jeff Van Drew,0.0833,0.6667,0.25,12
Susan Wild,0.0444,0.5778,0.3778,45
Steve Chabot,0.0303,0.3939,0.5758,33
Sean Casten,0.0,0.9275,0.0725,69
Dean Phillips,0.0,0.2794,0.7206,68
Josh Harder,0.0,0.2576,0.7424,66
Elaine Luria,0.0,0.9667,0.0333,60
Ben McAdams,0.0,0.9333,0.0667,60
Harley Rouda,0.0,0.4483,0.5517,58
Chip Roy,0.0,0.0,1.0,57
Katie Porter,0.0,0.6964,0.3036,56
Max Rose,0.0,0.4364,0.5636,55
TJ Cox,0.0,0.9636,0.0364,55
Matt Cartwright,0.0,0.18,0.82,50
Antonio Delgado,0.0,0.7368,0.2632,38
Lizzie Pannill Fletcher,0.0,0.9143,0.0857,35
Chris Pappas,0.0,0.5455,0.4545,33
Ann Wagner,0.0,0.0312,0.9688,32
Tom O'Halleran,0.0,0.0769,0.9231,26
Jaime Herrera Beutler,0.0,0.087,0.913,23
Lee Zeldin,0.0,0.0,1.0,21
Joe Cunningham,0.0,0.0952,0.9048,21
Jim Hagedorn,0.0,0.7,0.3,20
Cindy Axne,0.0,0.0,1.0,20
Andrew Kim,0.0,0.5789,0.4211,19
Debbie Mucarsel-Powell,0.0,0.0,1.0,17
Donna Shalala,0.0,0.0588,0.9412,17
Abby Finkenauer,0.0,0.7857,0.2143,14
Steve Watkins,0.0,0.0,1.0,9
Kim Schrier,0.0,0.8571,0.1429,7
Haley Stevens,0.0,1.0,0.0,4
Susie Lee,0.0,0.3333,0.6667,3
Anthony Brindisi,0.0,0.3333,0.6667,3
Jared Golden,0.0,1.0,0.0,1
Susan Brooks,0.0,1.0,0.0,1
Scott Perry,0.0,1.0,0.0,1
Elissa Slotkin,0.0,1.0,0.0,1
Will Hurd,0.0,1.0,0.0,1
Rob Woodall,0.0,1.0,0.0,1
Fred Upton,0.0,1.0,0.0,1
Angie Craig,0.0,0.0,1.0,1
