Name,Primary,Promotions,Spam,Total Emails
Antonio Delgado,1.0,0.0,0.0,11
Troy Balderson,1.0,0.0,0.0,4
Chris Pappas,1.0,0.0,0.0,4
George Holding,1.0,0.0,0.0,2
Michael McCaul,1.0,0.0,0.0,2
Jim Hagedorn,0.9524,0.0476,0.0,21
Fred Upton,0.9333,0.0,0.0667,15
Scott Perry,0.8,0.0,0.2,5
Lizzie Pannill Fletcher,0.7857,0.0714,0.1429,14
John Katko,0.7778,0.2222,0.0,9
Don Bacon,0.75,0.0833,0.1667,12
Max Rose,0.75,0.0,0.25,4
Pete Stauber,0.6667,0.1667,0.1667,12
Brian Fitzpatrick,0.6667,0.3333,0.0,3
Abigail Spanberger,0.6429,0.3214,0.0357,28
Susie Lee,0.625,0.125,0.25,16
Jaime Herrera Beutler,0.5625,0.0,0.4375,16
Ross Spano,0.5625,0.4375,0.0,16
Xochitl Torres Small,0.5385,0.1538,0.3077,13
Abby Finkenauer,0.5,0.0,0.5,10
Ben McAdams,0.5,0.5,0.0,4
Katie Porter,0.5,0.25,0.25,4
Steve King,0.5,0.0,0.5,2
TJ Cox,0.5,0.5,0.0,2
Rob Woodall,0.4706,0.4706,0.0588,17
Sharice Davids,0.4667,0.3333,0.2,15
Jared Golden,0.4167,0.1667,0.4167,12
Dean Phillips,0.4,0.6,0.0,15
Susan Wild,0.375,0.375,0.25,16
Tom Malinowski,0.375,0.0625,0.5625,16
Elissa Slotkin,0.375,0.375,0.25,16
Elaine Luria,0.3636,0.0,0.6364,11
Lucy McBath,0.3529,0.1176,0.5294,17
Lauren Underwood,0.3333,0.2667,0.4,15
Gil Cisneros,0.3333,0.4167,0.25,12
Harley Rouda,0.3333,0.3333,0.3333,3
Josh Harder,0.3333,0.0,0.6667,3
Will Hurd,0.3125,0.3125,0.375,16
Debbie Mucarsel-Powell,0.3,0.7,0.0,10
Rodney Davis,0.2963,0.1111,0.5926,27
Pete Olson,0.2727,0.0455,0.6818,22
Haley Stevens,0.2632,0.1053,0.6316,19
Angie Craig,0.25,0.5625,0.1875,16
Andrew Kim,0.25,0.375,0.375,8
Joe Cunningham,0.25,0.5,0.25,8
Kendra Horn,0.25,0.0,0.75,4
Colin Allred,0.1765,0.4706,0.3529,17
Ann Wagner,0.1667,0.5,0.3333,18
Conor Lamb,0.1429,0.1429,0.7143,7
Sean Casten,0.1,0.5,0.4,10
Anthony Brindisi,0.1,0.7,0.2,10
Ann Kirkpatrick,0.0,0.0,1.0,9
Cindy Axne,0.0,0.7143,0.2857,7
Greg Gianforte,0.0,0.0,1.0,2
Katie Hill,0.0,0.0,1.0,1
Matt Cartwright,0.0,1.0,0.0,1
Duncan Hunter,0.0,1.0,0.0,1
Chip Roy,0.0,0.0,1.0,1
Kim Schrier,0.0,0.0,1.0,1
Kenny Marchant,0.0,0.0,1.0,1
Jeff Van Drew,0.0,1.0,0.0,1
